Date,Open,High,Low,Close,Volume,Ticker,Year-Month
10/8/20,1465.09,1490,1465.09,1485.93,1187831,GOOG,2020-10
10/9/20,1494.7,1516.52,1489.45,1515.22,1435542,GOOG,2020-10
10/12/20,1543,1593.86,1532.57,1569.15,2482560,GOOG,2020-10
10/13/20,1583.73,1590,1563.2,1571.68,1601043,GOOG,2020-10
10/14/20,1578.59,1587.68,1550.53,1568.08,1930990,GOOG,2020-10
10/15/20,1547.15,1575.11,1545.03,1559.13,1540817,GOOG,2020-10
10/16/20,1565.85,1581.13,1563,1573.01,1435137,GOOG,2020-10
10/19/20,1580.46,1588.15,1528,1534.61,1607075,GOOG,2020-10
10/20/20,1527.05,1577.5,1525.67,1555.93,2242572,GOOG,2020-10
10/21/20,1573.33,1618.73,1571.63,1593.31,2568345,GOOG,2020-10
10/22/20,1593.05,1621.99,1585,1615.33,1434042,GOOG,2020-10
10/23/20,1626.07,1642.36,1620.51,1641,1375844,GOOG,2020-10
10/26/20,1625.01,1638.24,1576.5,1590.45,1853254,GOOG,2020-10
10/27/20,1595.67,1606.85,1582.78,1604.26,1229002,GOOG,2020-10
10/28/20,1559.74,1561.35,1514.62,1516.62,1833959,GOOG,2020-10
10/29/20,1522.36,1593.71,1522.24,1567.24,2003064,GOOG,2020-10
10/30/20,1672.11,1687,1604.46,1621.01,4330862,GOOG,2020-10
10/1/20,213.49,213.99,211.32,212.46,27158418,MSFT,2020-10
10/2/20,208,210.99,205.54,206.19,33154781,MSFT,2020-10
10/5/20,207.22,210.41,206.98,210.38,21331561,MSFT,2020-10
